index,date,observation,value
FI14,1962-01,Air temperature,-10.5
FI15,1962-01,Air temperature,-7.2
FI16,1962-01,Air temperature,-5.1
FI17,1962-01,Air temperature,-4.1
FI18,1962-01,Air temperature,-3.8
FI19,1962-01,Air temperature,-4.0
FI02,1962-02,Air temperature,-6.8
FI03,1962-02,Air temperature,-6.9
FI04,1962-02,Air temperature,-7.7
FI05,1962-02,Air temperature,-9.3
FI06,1962-02,Air temperature,-6.1
FI07,1962-02,Air temperature,-7.1
FI08,1962-02,Air temperature,-7.5
FI09,1962-02,Air temperature,-5.6
FI10,1962-02,Air temperature,-11.2
FI11,1962-02,Air temperature,-6.5
FI12,1962-02,Air temperature,-5.7
FI13,1962-02,Air temperature,-8.4
FI14,1962-02,Air temperature,-9.0
FI15,1962-02,Air temperature,-8.2
FI16,1962-02,Air temperature,-6.2
FI17,1962-02,Air temperature,-5.3
FI18,1962-02,Air temperature,-5.2
FI19,1962-02,Air temperature,-5.1
FI02,1962-03,Air temperature,-8.7
FI03,1962-03,Air temperature,-10.4
FI04,1962-03,Air temperature,-9.7
FI05,1962-03,Air temperature,-12.0
FI06,1962-03,Air temperature,-9.1
FI07,1962-03,Air temperature,-11.4
FI08,1962-03,Air temperature,-10.2
FI09,1962-03,Air temperature,-8.2
FI10,1962-03,Air temperature,-15.7
FI11,1962-03,Air temperature,-9.0
FI12,1962-03,Air temperature,-9.9
FI13,1962-03,Air temperature,-10.6
FI14,1962-03,Air temperature,-12.9
FI15,1962-03,Air temperature,-10.3
FI16,1962-03,Air temperature,-8.5
FI17,1962-03,Air temperature,-8.5
FI18,1962-03,Air temperature,-8.5
FI19,1962-03,Air temperature,-8.0
FI02,1962-04,Air temperature,4.0
FI03,1962-04,Air temperature,3.2
FI04,1962-04,Air temperature,3.7
FI05,1962-04,Air temperature,2.0
FI06,1962-04,Air temperature,3.7
FI07,1962-04,Air temperature,2.2
FI08,1962-04,Air temperature,3.4
FI09,1962-04,Air temperature,3.7
FI10,1962-04,Air temperature,-0.3
FI11,1962-04,Air temperature,3.4
FI12,1962-04,Air temperature,2.4
FI13,1962-04,Air temperature,3.2
FI14,1962-04,Air temperature,2.0
FI15,1962-04,Air temperature,3.2
FI16,1962-04,Air temperature,4.1
FI17,1962-04,Air temperature,3.8
FI18,1962-04,Air temperature,3.6
FI19,1962-04,Air temperature,3.9
FI02,1962-05,Air temperature,8.6
FI03,1962-05,Air temperature,7.6
FI04,1962-05,Air temperature,8.4
FI05,1962-05,Air temperature,6.4
FI06,1962-05,Air temperature,8.4
FI07,1962-05,Air temperature,6.1
FI08,1962-05,Air temperature,7.8
